Vehicle_Name,Battery_Info,Acceleration_0to100_Sec,Top_Speed_KmH,Range_Km,Efficiency_WhKm,Fast_Charge_Speed_KmH,Drive_Type,Seats,Price_Germany_EUR,Price_UK_GBP,Battery_Capacity_kWh,Brand,Efficiency_Category,Range_Category,Performance_Category
Opel Ampera-e ,Battery Electric Vehicle |       58 kWh ,7.3,150,335,173,210.0,Front Wheel Drive,5,"€42,990",,58.0,Opel,Good,Long,Performance
Renault Kangoo Maxi ZE 33,Battery Electric Vehicle |       31 kWh ,22.4,130,160,194,,Front Wheel Drive,5,,"£31,680",31.0,Renault,Average,Short,Economy
Nissan Leaf ,Battery Electric Vehicle |       36 kWh ,7.9,144,220,164,230.0,Front Wheel Drive,5,"€29,990","£25,995",36.0,Nissan,Good,Medium,Performance
Audi e-tron Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7,200,375,231,600.0,All Wheel Drive,5,,"£79,900",86.5,Audi,Below Average,Long,Performance
Porsche Taycan Turbo S,Battery Electric Vehicle |       83.7 kWh,2.8,260,390,215,860.0,All Wheel Drive,4,"€186,336","£138,830",83.7,Porsche,Below Average,Long,Sport
Nissan e-NV200 Evalia ,Battery Electric Vehicle |       36 kWh ,14.0,123,165,218,170.0,Front Wheel Drive,7,"€43,433","£30,255",36.0,Nissan,Below Average,Short,Economy
Volkswagen ID.3 Pure Performance,Battery Electric Vehicle |       45 kWh,8.9,160,275,164,260.0,Rear Wheel Drive,5,"€31,960","£27,120",45.0,Volkswagen,Good,Medium,Standard
BMW iX3 ,Battery Electric Vehicle |       74 kWh,6.8,180,385,192,520.0,Rear Wheel Drive,5,"€66,300","£58,850",74.0,BMW,Average,Long,Performance
Nissan Leaf e+,Battery Electric Vehicle |       56 kWh ,7.3,157,325,172,390.0,Front Wheel Drive,5,"€38,350","£30,445",56.0,Nissan,Good,Long,Performance
BMW i3 120 Ah,Battery Electric Vehicle |       37.9 kWh,7.3,150,235,161,270.0,Rear Wheel Drive,4,"€39,000","£31,305",37.9,BMW,Good,Medium,Performance
Mercedes EQA 250,Battery Electric Vehicle |       66.5 kWh,8.9,160,355,187,420.0,Front Wheel Drive,5,"€47,541","£43,495",66.5,Mercedes,Average,Long,Standard
DS 3 Crossback E-Tense,Battery Electric Vehicle |       45 kWh ,8.7,150,250,180,330.0,Front Wheel Drive,5,"€30,040","£31,500",45.0,DS,Good,Medium,Standard
BMW i3s 120 Ah,Battery Electric Vehicle |       37.9 kWh,6.9,160,230,165,260.0,Rear Wheel Drive,4,"€42,600","£32,305",37.9,BMW,Good,Medium,Performance
Sono Sion ,Battery Electric Vehicle |       47 kWh ,9.0,140,260,181,310.0,Front Wheel Drive,5,"€25,500",,47.0,Sono,Average,Medium,Standard
Audi e-tron GT RS,Battery Electric Vehicle |       85 kWh,3.3,250,405,210,810.0,All Wheel Drive,4,"€138,200","£110,950",85.0,Audi,Below Average,Very Long,Sport
Kia e-Soul 64 kWh,Battery Electric Vehicle |       64 kWh,7.9,167,370,173,350.0,Front Wheel Drive,5,,"£37,545",64.0,Kia,Good,Long,Performance
Renault Zoe ZE50 R110,Battery Electric Vehicle |       52 kWh,11.4,135,315,165,230.0,Front Wheel Drive,5,"€31,990","£26,795",52.0,Renault,Good,Long,Standard
Hyundai IONIQ Electric,Battery Electric Vehicle |       38.3 kWh,9.7,165,250,153,220.0,Front Wheel Drive,5,"€35,350","£30,550",38.3,Hyundai,Excellent,Medium,Standard
Lightyear One ,Battery Electric Vehicle |       60 kWh ,10.0,150,575,104,540.0,All Wheel Drive,5,"€149,000",,60.0,Lightyear,Excellent,Very Long,Standard
Tesla Roadster ,Battery Electric Vehicle |       200 kWh ,2.1,410,970,206,920.0,All Wheel Drive,4,"€215,000","£189,000",200.0,Tesla,Below Average,Very Long,Sport
Peugeot e-208 ,Battery Electric Vehicle |       45 kWh ,8.1,150,275,164,370.0,Front Wheel Drive,5,"€30,450","£27,225",45.0,Peugeot,Good,Medium,Standard
Honda e ,Battery Electric Vehicle |       28.5 kWh ,9.0,145,170,168,190.0,Rear Wheel Drive,4,"€33,850","£27,660",28.5,Honda,Good,Short,Standard
CUPRA Born 110 kW - 55 kWh,Battery Electric Vehicle |       45 kWh,8.9,160,275,164,440.0,Rear Wheel Drive,5,"€32,700","£28,500",45.0,CUPRA,Good,Medium,Standard
Audi Q4 e-tron 35,Battery Electric Vehicle |       51.5 kWh,9.0,160,280,184,390.0,Rear Wheel Drive,5,"€41,900","£40,750",51.5,Audi,Average,Medium,Standard
Tesla Model Y Long Range Dual Motor,Battery Electric Vehicle |       76 kWh ,5.1,217,450,169,750.0,All Wheel Drive,7,"€59,965","£54,000",76.0,Tesla,Good,Very Long,Performance
Tesla Model Y Performance,Battery Electric Vehicle |       76 kWh ,3.7,241,430,177,720.0,All Wheel Drive,7,"€66,965","£60,000",76.0,Tesla,Good,Very Long,Sport
Porsche Taycan 4 Cross Turismo,Battery Electric Vehicle |       83.7 kWh,5.1,220,405,207,850.0,All Wheel Drive,4,"€93,635","£79,340",83.7,Porsche,Below Average,Very Long,Performance
Skoda Enyaq iV 50,Battery Electric Vehicle |       52 kWh,11.3,160,295,176,240.0,Rear Wheel Drive,5,"€33,800",,52.0,Skoda,Good,Medium,Standard
Volkswagen e-Up! ,Battery Electric Vehicle |       32.3 kWh,11.9,130,205,158,170.0,Front Wheel Drive,4,,,32.3,Volkswagen,Excellent,Medium,Standard
SEAT Mii Electric ,Battery Electric Vehicle |       32.3 kWh,12.3,130,205,158,170.0,Front Wheel Drive,4,"€24,650",,32.3,SEAT,Excellent,Medium,Economy
Opel Corsa-e ,Battery Electric Vehicle |       45 kWh ,8.1,150,275,164,370.0,Front Wheel Drive,5,"€29,000","£27,140",45.0,Opel,Good,Medium,Standard
MG ZS EV,Battery Electric Vehicle |       42.5 kWh ,8.2,140,220,193,260.0,Front Wheel Drive,5,"€31,990","£25,995",42.5,MG,Average,Medium,Standard
Volkswagen ID.3 Pro,Battery Electric Vehicle |       58 kWh,9.6,160,350,166,440.0,Rear Wheel Drive,5,"€34,995","£28,420",58.0,Volkswagen,Good,Long,Standard
Volkswagen ID.3 Pro S,Battery Electric Vehicle |       77 kWh,7.9,160,450,171,550.0,Rear Wheel Drive,4,"€41,995","£38,800",77.0,Volkswagen,Good,Very Long,Performance
Hyundai Kona Electric 64 kWh,Battery Electric Vehicle |       64 kWh,7.9,167,395,162,370.0,Front Wheel Drive,5,"€41,850",,64.0,Hyundai,Good,Long,Performance
Renault Zoe ZE50 R135,Battery Electric Vehicle |       52 kWh,9.5,140,310,168,230.0,Front Wheel Drive,5,"€33,990","£28,795",52.0,Renault,Good,Long,Standard
Peugeot e-2008 SUV ,Battery Electric Vehicle |       45 kWh ,8.5,150,250,180,330.0,Front Wheel Drive,5,"€35,450","£30,730",45.0,Peugeot,Good,Medium,Standard
Audi e-tron 50 quattro,Battery Electric Vehicle |       64.7 kWh,6.8,190,280,231,470.0,All Wheel Drive,5,"€69,100","£60,600",64.7,Audi,Below Average,Medium,Performance
Porsche Taycan Turbo,Battery Electric Vehicle |       83.7 kWh,3.2,260,400,209,840.0,All Wheel Drive,4,"€153,016","£115,860",83.7,Porsche,Below Average,Long,Sport
Smart EQ fortwo coupe,Battery Electric Vehicle |       16.7 kWh ,11.6,130,100,167,,Rear Wheel Drive,2,"€18,460","£19,200",16.7,Smart,Good,Short,Standard
Smart EQ fortwo cabrio,Battery Electric Vehicle |       16.7 kWh ,11.9,130,95,176,,Rear Wheel Drive,2,"€21,720","£21,620",16.7,Smart,Good,Short,Standard
Smart EQ forfour ,Battery Electric Vehicle |       16.7 kWh ,12.7,130,95,176,,Rear Wheel Drive,4,"€19,120","£19,795",16.7,Smart,Good,Short,Economy
Honda e Advance,Battery Electric Vehicle |       28.5 kWh ,8.3,145,170,168,190.0,Rear Wheel Drive,4,"€38,000","£30,160",28.5,Honda,Good,Short,Standard
Byton M-Byte 72 kWh 2WD,Battery Electric Vehicle |       72 kWh ,7.5,190,325,222,420.0,Rear Wheel Drive,5,"€53,500","£50,000",72.0,Byton,Below Average,Long,Performance
Byton M-Byte 95 kWh 4WD,Battery Electric Vehicle |       95 kWh ,5.5,190,390,244,460.0,All Wheel Drive,5,"€64,000","£60,000",95.0,Byton,Below Average,Long,Performance
Renault Zoe ZE40 R110,Battery Electric Vehicle |       41 kWh,11.4,135,255,161,230.0,Front Wheel Drive,5,"€29,990",,41.0,Renault,Good,Medium,Standard
Porsche Taycan 4S,Battery Electric Vehicle |       71 kWh,4.0,250,375,189,750.0,All Wheel Drive,4,"€106,487","£83,580",71.0,Porsche,Average,Long,Sport
Porsche Taycan 4S Plus,Battery Electric Vehicle |       83.7 kWh,4.0,250,435,192,910.0,All Wheel Drive,4,"€113,008","£88,193",83.7,Porsche,Average,Very Long,Sport
Hyundai Kona Electric 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.9,155,250,157,210.0,Front Wheel Drive,5,"€34,850",,39.2,Hyundai,Excellent,Medium,Standard
Mercedes EQV 300 Long,Battery Electric Vehicle |       90 kWh,12.1,160,320,281,280.0,Front Wheel Drive,7,"€71,388","£70,665",90.0,Mercedes,,Long,Economy
Mazda MX-30 ,Battery Electric Vehicle |       30 kWh ,9.7,140,170,176,180.0,Front Wheel Drive,5,"€34,490","£26,045",30.0,Mazda,Good,Short,Standard
Ford Mustang Mach-E SR RWD,Battery Electric Vehicle |       68 kWh,6.9,180,345,197,380.0,Rear Wheel Drive,5,"€46,900","£41,330",68.0,Ford,Average,Long,Performance
Ford Mustang Mach-E ER RWD,Battery Electric Vehicle |       88 kWh,7.0,180,440,200,430.0,Rear Wheel Drive,5,"€54,475","£49,980",88.0,Ford,Average,Very Long,Performance
Ford Mustang Mach-E SR AWD,Battery Electric Vehicle |       68 kWh,6.3,180,330,206,360.0,All Wheel Drive,5,"€54,000","£46,650",68.0,Ford,Below Average,Long,Performance
Ford Mustang Mach-E ER AWD,Battery Electric Vehicle |       88 kWh,5.8,180,420,210,410.0,All Wheel Drive,5,"€62,900","£57,030",88.0,Ford,Below Average,Very Long,Performance
Ford Mustang Mach-E GT,Battery Electric Vehicle |       88 kWh,4.4,200,410,215,400.0,All Wheel Drive,5,,"£67,225",88.0,Ford,Below Average,Very Long,Sport
Audi e-tron Sportback 50 quattro,Battery Electric Vehicle |       64.7 kWh,6.8,190,295,219,490.0,All Wheel Drive,5,"€71,350","£69,100",64.7,Audi,Below Average,Medium,Performance
Tesla Cybertruck Single Motor,Battery Electric Vehicle |       100 kWh ,7.0,180,390,256,740.0,Rear Wheel Drive,7,"€45,000","£39,000",100.0,Tesla,,Long,Performance
Tesla Cybertruck Dual Motor,Battery Electric Vehicle |       120 kWh ,5.0,190,460,261,710.0,All Wheel Drive,7,"€55,000","£48,000",120.0,Tesla,,Very Long,Sport
Tesla Cybertruck Tri Motor,Battery Electric Vehicle |       200 kWh ,3.0,210,750,267,710.0,All Wheel Drive,7,"€75,000","£68,000",200.0,Tesla,,Very Long,Sport
Lexus UX 300e,Battery Electric Vehicle |       50 kWh ,7.5,160,260,192,150.0,Front Wheel Drive,5,"€47,550","£43,900",50.0,Lexus,Average,Medium,Performance
BMW i4 eDrive40,Battery Electric Vehicle |       80.7 kWh,5.7,190,475,170,660.0,Rear Wheel Drive,5,"€58,300","£51,905",80.7,BMW,Good,Very Long,Performance
Audi e-tron 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7,200,365,237,590.0,All Wheel Drive,5,,"£71,500",86.5,Audi,Below Average,Long,Performance
Aiways U5 ,Battery Electric Vehicle |       63 kWh ,7.5,150,335,188,350.0,Front Wheel Drive,5,"€35,993",,63.0,Aiways,Average,Long,Performance
Renault Twingo Electric,Battery Electric Vehicle |       21.3 kWh,12.6,135,130,164,,Rear Wheel Drive,4,"€24,790",,21.3,Renault,Good,Short,Economy
Audi e-tron S 55 quattro,Battery Electric Vehicle |       86.5 kWh,4.5,210,320,270,510.0,All Wheel Drive,5,"€93,800","£87,000",86.5,Audi,,Long,Sport
Audi e-tron S Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,4.5,210,335,258,540.0,All Wheel Drive,5,"€96,050","£88,700",86.5,Audi,,Long,Sport
Volkswagen ID.4 1st,Battery Electric Vehicle |       77 kWh,8.5,160,410,188,500.0,Rear Wheel Drive,5,,"£40,800",77.0,Volkswagen,Average,Very Long,Standard
Byton M-Byte 95 kWh 2WD,Battery Electric Vehicle |       95 kWh ,7.5,190,400,238,480.0,Rear Wheel Drive,5,"€62,000","£57,500",95.0,Byton,Below Average,Long,Performance
Fiat 500e Cabrio,Battery Electric Vehicle |       37.3 kWh ,9.0,150,245,152,410.0,Front Wheel Drive,4,"€30,560","£26,645",37.3,Fiat,Excellent,Medium,Standard
Opel Mokka-e ,Battery Electric Vehicle |       45 kWh ,8.5,150,255,176,340.0,Front Wheel Drive,5,"€34,110","£30,540",45.0,Opel,Good,Medium,Standard
Skoda Enyaq iV 60,Battery Electric Vehicle |       58 kWh,8.7,160,330,176,420.0,Rear Wheel Drive,5,"€38,850","£31,995",58.0,Skoda,Good,Long,Standard
Skoda Enyaq iV 80,Battery Electric Vehicle |       77 kWh,8.6,160,420,183,510.0,Rear Wheel Drive,5,"€43,950","£39,350",77.0,Skoda,Average,Very Long,Standard
Skoda Enyaq iV 80X,Battery Electric Vehicle |       77 kWh,6.9,160,405,190,500.0,All Wheel Drive,5,"€47,000","£42,000",77.0,Skoda,Average,Very Long,Performance
Skoda Enyaq iV RS,Battery Electric Vehicle |       77 kWh,6.2,180,395,195,480.0,All Wheel Drive,5,"€50,000","£45,000",77.0,Skoda,Average,Long,Performance
Fiat 500e Hatchback 42 kWh,Battery Electric Vehicle |       37.3 kWh ,9.0,150,250,149,420.0,Front Wheel Drive,4,"€27,560","£23,995",37.3,Fiat,Excellent,Medium,Standard
Citroen e-C4 ,Battery Electric Vehicle |       45 kWh ,9.7,150,250,180,330.0,Front Wheel Drive,5,"€34,640","£30,895",45.0,Citroen,Good,Medium,Standard
