Brand,Model,Acceleration_0to100_Sec,Top_Speed_KmH,Range_Km,Efficiency_WhKm,Fast_Charge_Speed_KmH,Has_Rapid_Charge,Drive_Type,Plug_Type,Body_Style,Market_Segment,Seats,Price_EUR,Cost_Per_Km_Range,Efficiency_Rating,Range_Class,Price_Segment,Performance_Score
Tesla ,Model 3 Long Range Dual Motor,4.6,233,450,161,940,Yes,AWD,Type 2 CCS,Sedan,D,5,55480,123.29,A,Long Range,Premium,50.65
Volkswagen ,ID.3 Pure,10.0,160,270,167,250,Yes,RWD,Type 2 CCS,Hatchback,C,5,30000,111.11,A,Standard,Budget,16.0
Polestar ,2,4.7,210,400,181,620,Yes,AWD,Type 2 CCS,Liftback,D,5,56440,141.1,B,Long Range,Premium,44.68
BMW ,iX3 ,6.8,180,360,206,560,Yes,RWD,Type 2 CCS,SUV,D,5,68040,189.0,C,Long Range,Premium,26.47
Honda ,e ,9.5,145,170,168,190,Yes,RWD,Type 2 CCS,Hatchback,B,4,32997,194.1,A,City,Budget,15.26
Lucid ,Air ,2.8,250,610,180,620,Yes,AWD,Type 2 CCS,Sedan,F,5,105000,172.13,B,Extended,Luxury,89.29
Volkswagen ,e-Golf ,9.6,150,190,168,220,Yes,FWD,Type 2 CCS,Hatchback,C,5,31900,167.89,A,City,Budget,15.62
Peugeot ,e-208 ,8.1,150,275,164,420,Yes,FWD,Type 2 CCS,Hatchback,B,5,29682,107.93,A,Standard,Budget,18.52
Tesla ,Model 3 Standard Range Plus,5.6,225,310,153,650,Yes,RWD,Type 2 CCS,Sedan,D,5,46380,149.61,A+,Standard,Mid-Range,40.18
Audi ,Q4 e-tron ,6.3,180,400,193,540,Yes,AWD,Type 2 CCS,SUV,D,5,55000,137.5,C,Long Range,Premium,28.57
Mercedes ,EQC 400 4MATIC,5.1,180,370,216,440,Yes,AWD,Type 2 CCS,SUV,D,5,69484,187.79,C,Long Range,Premium,35.29
Nissan ,Leaf ,7.9,144,220,164,230,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,29234,132.88,A,City,Budget,18.23
Hyundai ,Kona Electric 64 kWh,7.9,167,400,160,380,Yes,FWD,Type 2 CCS,SUV,B,5,40795,101.99,A+,Long Range,Mid-Range,21.14
BMW ,i4 ,4.0,200,450,178,650,Yes,RWD,Type 2 CCS,Sedan,D,5,65000,144.44,B,Long Range,Premium,50.0
Hyundai ,IONIQ Electric,9.7,165,250,153,210,Yes,FWD,Type 2 CCS,Liftback,C,5,34459,137.84,A+,City,Budget,17.01
Volkswagen ,ID.3 Pro S,7.9,160,440,175,590,Yes,RWD,Type 2 CCS,Hatchback,C,4,40936,93.04,A,Long Range,Mid-Range,20.25
Porsche ,Taycan Turbo S,2.8,260,375,223,780,Yes,AWD,Type 2 CCS,Sedan,F,4,180781,482.08,C,Long Range,Luxury,92.86
Volkswagen ,e-Up! ,11.9,130,195,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,21421,109.85,A,City,Budget,10.92
MG ,ZS EV,8.2,140,220,193,260,Yes,FWD,Type 2 CCS,SUV,B,5,30000,136.36,C,City,Budget,17.07
Mini ,Cooper SE ,7.3,150,185,156,260,Yes,FWD,Type 2 CCS,Hatchback,B,4,31681,171.25,A+,City,Budget,20.55
Opel ,Corsa-e ,8.1,150,275,164,420,Yes,FWD,Type 2 CCS,Hatchback,B,5,29146,105.99,A,Standard,Budget,18.52
Tesla ,Model Y Long Range Dual Motor,5.1,217,425,171,930,Yes,AWD,Type 2 CCS,SUV,D,7,58620,137.93,A,Long Range,Premium,42.55
Skoda ,Enyaq iV 50,10.0,160,290,179,230,Yes,RWD,Type 2 CCS,SUV,C,5,35000,120.69,B,Standard,Budget,16.0
